RAHSAAN ROLAND KIRK	INSTRUMENT	PERCUSSION INSTRUMENT
DAVID ARKENSTONE	INSTRUMENT	GUITAR
DAVID ARKENSTONE	INSTRUMENT	MANDOLIN
DAVID ARKENSTONE	INSTRUMENT	DRUMS
DAVID ARKENSTONE	INSTRUMENT	PERCUSSION
DAVID ARKENSTONE	INSTRUMENT	FLUTES
DAVID ARKENSTONE	INSTRUMENT	FRETLESS BASS
DAVID ARKENSTONE	INSTRUMENT	PIANO
DAVID ARKENSTONE	INSTRUMENT	KEYBOARDS
DAVID ARKENSTONE	INSTRUMENT	DIGITAL AUDIO WORKSTATION
IAN DURY	INSTRUMENT	SINGING
IAN DURY	INSTRUMENT	DRUM KIT
FRANKIE YANKOVIC	INSTRUMENT	ACCORDION
PAT MASTELOTTO	INSTRUMENT	DRUM KIT
PAT MASTELOTTO	INSTRUMENT	PERCUSSION INSTRUMENT
JEAN-MICHEL JARRE	INSTRUMENT	SYNTHESIZER, PIANO, ORGAN, LASER HARP, ACCORDION, GUITAR, BASS GUITAR
KING OLIVER	INSTRUMENT	CORNET
TOM JONES	INSTRUMENT	VOCALS
PRINCESS SUPERSTAR	INSTRUMENT	SINGING
PRINCESS SUPERSTAR	INSTRUMENT	GUITAR
BILLIE HOLIDAY	INSTRUMENT	SINGING
PAUL SIMON	INSTRUMENT	*
PAUL SIMON	INSTRUMENT	SINGING
PAUL SIMON	INSTRUMENT	GUITAR
JOAN BAEZ	INSTRUMENT	*VOCALS\N*
JOAN BAEZ	INSTRUMENT	GUITAR
JOAN BAEZ	INSTRUMENT	*
JOAN BAEZ	INSTRUMENT	PIANO
JOAN BAEZ	INSTRUMENT	UKULELE
RITCHIE VALENS	INSTRUMENT	GUITAR
RITCHIE VALENS	INSTRUMENT	VOCALS
HENRY MANCINI	INSTRUMENT	PIANO, FLUTE, PICCOLO
LES CLAYPOOL	INSTRUMENT	BASS, VOCALS, UPRIGHT BASS, DRUMS, GUITAR, WHAMOLA, BASSJO, MANDOLIN, BANJO, CLARINET, CELLO, MELLOTRON
JOHN COLTRANE	INSTRUMENT	TENOR, SOPRANO AND ALTO SAXOPHONE
BENNY GOODMAN	INSTRUMENT	CLARINET
JOHN PAUL JONES	INSTRUMENT	*
JOHN PAUL JONES	INSTRUMENT	BASS GUITAR
JOHN PAUL JONES	INSTRUMENT	KEYBOARD INSTRUMENT
BO HANSSON	INSTRUMENT	HAMMOND ORGAN, GUITAR
PETER GABRIEL	INSTRUMENT	SINGING
PETER GABRIEL	INSTRUMENT	KEYBOARD INSTRUMENT
PETER GABRIEL	INSTRUMENT	FLUTE
RICHARD LEVERIDGE	INSTRUMENT	BASS
KEITH EMERSON	INSTRUMENT	SYNTHESIZER, HAMMOND ORGAN, KEYBOARD, PIANO
BARRY WHITE	INSTRUMENT	PIANO, HARPSICHORD, KEYBOARDS, VOCALS, DRUMS
BUDDY BOLDEN	INSTRUMENT	CORNET
NOBUO UEMATSU	INSTRUMENT	*
NOBUO UEMATSU	INSTRUMENT	ELECTRONIC KEYBOARD
NOBUO UEMATSU	INSTRUMENT	ORGAN
NOBUO UEMATSU	INSTRUMENT	PIANO
